[codex-2x] starting 278 tasks
[codex-2x]   1/278  pilot-prioritization-nps-001                                  score=None    37.6s
[codex-2x]   2/278  pilot-prioritization-nps-002                                  score=None    45.3s
[codex-2x]   3/278  pilot-prioritization-nps-003                                  score=None    36.8s
[codex-2x]   4/278  pilot-prioritization-nps-004                                  score=None    46.8s
[codex-2x]   5/278  pilot-prioritization-nps-005                                  score=None    31.0s
[codex-2x]   6/278  pilot-prioritization-nps-006                                  score=None    33.8s
[codex-2x]   7/278  pilot-hit-prediction-001                                      score=1.0    28.4s
[codex-2x]   8/278  pilot-hit-prediction-002                                      score=0.0    27.0s
[codex-2x]   9/278  pilot-hit-prediction-003                                      score=1.0    25.5s
[codex-2x]  10/278  pilot-hit-prediction-004                                      score=1.0    25.2s
[codex-2x]  11/278  pilot-hit-prediction-005                                      score=1.0    25.8s
[codex-2x]  12/278  pilot-hit-prediction-006                                      score=1.0    26.8s
[codex-2x]  13/278  pilot-hit-prediction-007                                      score=1.0    57.0s
[codex-2x]  14/278  pilot-hit-prediction-008                                      score=0.0    28.0s
[codex-2x]  15/278  pilot-hit-prediction-009                                      score=1.0    33.4s
[codex-2x]  16/278  pilot-hit-prediction-010                                      score=1.0    28.9s
[codex-2x]  17/278  pilot-hit-prediction-011                                      score=1.0    29.6s
[codex-2x]  18/278  pilot-hit-prediction-012                                      score=1.0    29.7s
[codex-2x]  19/278  pilot-hit-prediction-013                                      score=0.0    33.5s
[codex-2x]  20/278  pilot-hit-prediction-014                                      score=0.0    31.9s
[codex-2x]  21/278  pilot-hit-prediction-015                                      score=1.0    26.6s
[codex-2x]  22/278  pilot-hit-prediction-016                                      score=0.0    23.5s
[codex-2x]  23/278  pilot-hit-prediction-017                                      score=0.0    20.1s
[codex-2x]  24/278  pilot-hit-prediction-018                                      score=0.0    28.8s
[codex-2x]  25/278  pilot-hit-prediction-019                                      score=0.0    25.9s
[codex-2x]  26/278  pilot-hit-prediction-020                                      score=0.0    25.3s
[codex-2x]  27/278  pilot-hit-prediction-021                                      score=0.0    26.8s
[codex-2x]  28/278  pilot-hit-prediction-022                                      score=0.0    25.7s
[codex-2x]  29/278  pilot-hit-prediction-023                                      score=0.0    25.0s
[codex-2x]  30/278  pilot-hit-prediction-024                                      score=0.0    33.2s
[codex-2x]  31/278  pilot-next-experiment-exposure-001                            score=1.0    25.5s
[codex-2x]  32/278  pilot-next-experiment-artifact-002                            score=1.0    36.2s
[codex-2x]  33/278  pilot-next-experiment-cross-family-003                        score=1.0    47.3s
[codex-2x]  34/278  pilot-peptide-pairwise-sequence-nps-hard-001                  score=0.0    33.3s
[codex-2x]  35/278  pilot-peptide-pairwise-sequence-nps-hard-002                  score=0.0    24.9s
[codex-2x]  36/278  pilot-peptide-pairwise-sequence-nps-hard-003                  score=0.0    18.3s
[codex-2x]  37/278  pilot-peptide-pairwise-sequence-nps-hard-004                  score=0.0    45.0s
[codex-2x]  38/278  pilot-peptide-pairwise-sequence-nps-hard-005                  score=1.0    21.7s
[codex-2x]  39/278  pilot-peptide-pairwise-sequence-nps-medium-006                score=1.0    50.8s
[codex-2x]  40/278  pilot-peptide-pairwise-sequence-nps-medium-007                score=1.0    52.7s
[codex-2x]  41/278  pilot-peptide-pairwise-sequence-nps-medium-008                score=1.0    22.9s
[codex-2x]  42/278  pilot-peptide-pairwise-sequence-nps-medium-009                score=1.0    26.2s
[codex-2x]  43/278  pilot-peptide-pairwise-sequence-nps-medium-010                score=0.0    29.4s
[codex-2x]  44/278  pilot-peptide-pairwise-sequence-nps-easy-011                  score=1.0    22.7s
[codex-2x]  45/278  pilot-peptide-pairwise-sequence-nps-easy-012                  score=0.0    16.2s
[codex-2x]  46/278  pilot-peptide-pairwise-sequence-nps-easy-013                  score=1.0    26.9s
[codex-2x]  47/278  pilot-peptide-pairwise-sequence-nps-easy-014                  score=0.0    22.2s
[codex-2x]  48/278  pilot-peptide-pairwise-sequence-nps-easy-015                  score=0.0    47.5s
[codex-2x]  49/278  pilot-peptide-pairwise-sequence-nps-trivial-016               score=1.0    22.0s
[codex-2x]  50/278  pilot-peptide-pairwise-sequence-nps-trivial-017               score=1.0    21.5s
[codex-2x]  51/278  pilot-peptide-pairwise-sequence-nps-trivial-018               score=1.0    25.9s
[codex-2x]  52/278  pilot-peptide-pairwise-sequence-nps-trivial-019               score=1.0    16.1s
[codex-2x]  53/278  pilot-peptide-pairwise-sequence-nps-trivial-020               score=0.0    27.9s
[codex-2x]  54/278  pilot-peptide-pairwise-sequence-oxn-hard-001                  score=1.0    51.0s
